M,under 16,Middle Hill,0.0
F,under 16,Middle Hill,0.0
M,16 to 20,Middle Hill,0.00911282675446
F,16 to 20,Middle Hill,0.00459556732831
M,21 to 34,Middle Hill,0.0406338214246
F,21 to 34,Middle Hill,0.0180537241696
M,35 to 44,Middle Hill,0.0361827746559
F,35 to 44,Middle Hill,0.00456199583537
M,45 to 64,Middle Hill,0.0539181515955
F,45 to 64,Middle Hill,0.0135960704762
M,65 and over,Middle Hill,0.0
F,65 and over,Middle Hill,0.0
M,under 16,Spring Hill-City View,0.0
F,under 16,Spring Hill-City View,0.0
M,16 to 20,Spring Hill-City View,0.0135878335144
F,16 to 20,Spring Hill-City View,0.00454799378534
M,21 to 34,Spring Hill-City View,0.165773875566
F,21 to 34,Spring Hill-City View,0.0493822375053
M,35 to 44,Spring Hill-City View,0.0227124151739
F,35 to 44,Spring Hill-City View,0.00910955509494
M,45 to 64,Spring Hill-City View,0.022653884653
F,45 to 64,Spring Hill-City View,0.00915339832488
M,65 and over,Spring Hill-City View,0.0
F,65 and over,Spring Hill-City View,0.0
M,under 16,Perry South,0.0181274836961
F,under 16,Perry South,0.0046012371604
M,16 to 20,Perry South,0.0182219733639
F,16 to 20,Perry South,0.0136919035328
M,21 to 34,Perry South,0.0977346430061
F,21 to 34,Perry South,0.0271521437378
M,35 to 44,Perry South,0.0626148681393
F,35 to 44,Perry South,0.0
M,45 to 64,Perry South,0.0758989271061
F,45 to 64,Perry South,0.0182139083198
M,65 and over,Perry South,0.00459663822079
F,65 and over,Perry South,0.0
M,under 16,Brighton Heights,0.00916719373615
F,under 16,Brighton Heights,0.0135565543091
M,16 to 20,Brighton Heights,0.0584802101522
F,16 to 20,Brighton Heights,0.0181269129845
M,21 to 34,Brighton Heights,0.144809201901
F,21 to 34,Brighton Heights,0.0845904106964
M,35 to 44,Brighton Heights,0.0540711218162
F,35 to 44,Brighton Heights,0.0407822688739
M,45 to 64,Brighton Heights,0.0315907409382
F,45 to 64,Brighton Heights,0.00457335564476
M,65 and over,Brighton Heights,0.0
F,65 and over,Brighton Heights,0.0
M,under 16,Manchester,0.0
F,under 16,Manchester,0.0
M,16 to 20,Manchester,0.0226823773082
F,16 to 20,Manchester,0.00908534271732
M,21 to 34,Manchester,0.0317084017038
F,21 to 34,Manchester,0.0136351253631
M,35 to 44,Manchester,0.00451794934478
F,35 to 44,Manchester,0.0271767826018
M,45 to 64,Manchester,0.0271887817174
F,45 to 64,Manchester,0.0180333635645
M,65 and over,Manchester,0.0
F,65 and over,Manchester,0.00453813079605
M,under 16,Golden Triangle/Civic Arena,0.0181637321231
F,under 16,Golden Triangle/Civic Arena,0.0225321369228
M,16 to 20,Golden Triangle/Civic Arena,0.132228563559
F,16 to 20,Golden Triangle/Civic Arena,0.144751848381
M,21 to 34,Golden Triangle/Civic Arena,0.423872877623
F,21 to 34,Golden Triangle/Civic Arena,0.210922941081
M,35 to 44,Golden Triangle/Civic Arena,0.136800021752
F,35 to 44,Golden Triangle/Civic Arena,0.0802580050763
M,45 to 64,Golden Triangle/Civic Arena,0.140502255073
F,45 to 64,Golden Triangle/Civic Arena,0.040590108477
M,65 and over,Golden Triangle/Civic Arena,0.0181357040655
F,65 and over,Golden Triangle/Civic Arena,0.0
M,under 16,Beltzhoover,0.0
F,under 16,Beltzhoover,0.0
M,16 to 20,Beltzhoover,0.00904867876483
F,16 to 20,Beltzhoover,0.00906754254454
M,21 to 34,Beltzhoover,0.0404772212482
F,21 to 34,Beltzhoover,0.0136200977222
M,35 to 44,Beltzhoover,0.0090788188749
F,35 to 44,Beltzhoover,0.0
M,45 to 64,Beltzhoover,0.0362501780208
F,45 to 64,Beltzhoover,0.0181643779795
M,65 and over,Beltzhoover,0.0
