M,under 16,Middle Hill,0.0
F,under 16,Middle Hill,0.0
M,16 to 20,Middle Hill,0.0495251890768
F,16 to 20,Middle Hill,0.0
M,21 to 34,Middle Hill,0.0979810325442
F,21 to 34,Middle Hill,0.0317626365974
M,35 to 44,Middle Hill,0.0453105367302
F,35 to 44,Middle Hill,0.0
M,45 to 64,Middle Hill,0.0846427058982
F,45 to 64,Middle Hill,0.00452155158751
M,65 and over,Middle Hill,0.00455932784693
F,65 and over,Middle Hill,0.0
M,under 16,Spring Hill-City View,0.0
F,under 16,Spring Hill-City View,0.0
M,16 to 20,Spring Hill-City View,0.0
F,16 to 20,Spring Hill-City View,0.00453437477708
M,21 to 34,Spring Hill-City View,0.084716977458
F,21 to 34,Spring Hill-City View,0.0226138317074
M,35 to 44,Spring Hill-City View,0.0181803624463
F,35 to 44,Spring Hill-City View,0.00907209535638
M,45 to 64,Spring Hill-City View,0.0226265943115
F,45 to 64,Spring Hill-City View,0.0136415123418
M,65 and over,Spring Hill-City View,0.0
F,65 and over,Spring Hill-City View,0.0
M,under 16,Perry South,0.0270902956729
F,under 16,Perry South,0.0
M,16 to 20,Perry South,0.0890605342274
F,16 to 20,Perry South,0.0
M,21 to 34,Perry South,0.106404484054
F,21 to 34,Perry South,0.018184861212
M,35 to 44,Perry South,0.0493507800136
F,35 to 44,Perry South,0.00910042129856
M,45 to 64,Perry South,0.0584078085242
F,45 to 64,Perry South,0.0183140660254
M,65 and over,Perry South,0.0
F,65 and over,Perry South,0.0
M,under 16,Brighton Heights,0.00453092995973
F,under 16,Brighton Heights,0.0
M,16 to 20,Brighton Heights,0.0318550631522
F,16 to 20,Brighton Heights,0.0136931697238
M,21 to 34,Brighton Heights,0.123717538943
F,21 to 34,Brighton Heights,0.0406303141506
M,35 to 44,Brighton Heights,0.0227304920137
F,35 to 44,Brighton Heights,0.00910319443435
M,45 to 64,Brighton Heights,0.0316967786837
F,45 to 64,Brighton Heights,0.0136556881922
M,65 and over,Brighton Heights,0.0
F,65 and over,Brighton Heights,0.0
M,under 16,Manchester,0.0137389851329
F,under 16,Manchester,0.0
M,16 to 20,Manchester,0.0316424079381
F,16 to 20,Manchester,0.00456815869182
M,21 to 34,Manchester,0.0847082171026
F,21 to 34,Manchester,0.0180745575097
M,35 to 44,Manchester,0.0225744262305
F,35 to 44,Manchester,0.0
M,45 to 64,Manchester,0.0
F,45 to 64,Manchester,0.0
M,65 and over,Manchester,0.0
F,65 and over,Manchester,0.00453511394078
M,under 16,Golden Triangle/Civic Arena,0.0136552512511
F,under 16,Golden Triangle/Civic Arena,0.0
M,16 to 20,Golden Triangle/Civic Arena,0.140653363596
F,16 to 20,Golden Triangle/Civic Arena,0.0406915406816
M,21 to 34,Golden Triangle/Civic Arena,0.585093985634
F,21 to 34,Golden Triangle/Civic Arena,0.259100474196
M,35 to 44,Golden Triangle/Civic Arena,0.235257688381
F,35 to 44,Golden Triangle/Civic Arena,0.132104705379
M,45 to 64,Golden Triangle/Civic Arena,0.369042249451
F,45 to 64,Golden Triangle/Civic Arena,0.102033750318
M,65 and over,Golden Triangle/Civic Arena,0.0317136524358
F,65 and over,Golden Triangle/Civic Arena,0.0
M,under 16,Beltzhoover,0.00453585322497
F,under 16,Beltzhoover,0.0
M,16 to 20,Beltzhoover,0.0716619612258
F,16 to 20,Beltzhoover,0.0
M,21 to 34,Beltzhoover,0.144345052728
F,21 to 34,Beltzhoover,0.0
M,35 to 44,Beltzhoover,0.0137426714528
F,35 to 44,Beltzhoover,0.00457088669815
M,45 to 64,Beltzhoover,0.036150869096
F,45 to 64,Beltzhoover,0.0091103713303
M,65 and over,Beltzhoover,0.0
F,65 and over,Beltzhoover,0.0
M,under 16,Knoxville,0.0
