_id,REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
1,ARREST,15041602,3502,Burglary.,2015-03-10T17:11:00,1700 block Reed St,Middle Hill,2,44,M
2,OFFENSE 2.0,15041309,9488,False  Burglar Alarm,2015-03-10T00:54:00,500 block N Taylor Ave,Central Northside,1,,
3,OFFENSE 2.0,15041345,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T01:38:00,2900 block N Charles St,Perry South,1,,
4,OFFENSE 2.0,15041339,9488,False  Burglar Alarm,2015-03-10T01:41:00,1900 block Clayton Ave,Perry South,1,,
5,OFFENSE 2.0,15041346,5505,Public Drunkenness,2015-03-10T01:57:00,1200 block Woods Run Ave,Brighton Heights,1,,
6,OFFENSE 2.0,15041346,601.16,Public Urination And Defecation,2015-03-10T01:57:00,1200 block Woods Run Ave,Brighton Heights,1,,
7,OFFENSE 2.0,15041397,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-10T03:50:00,Rhine St & Buente St,Spring Hill-City View,1,,
8,ARREST,11116162,2711,Domestic Violence,2015-03-10T04:30:00,1100 block BUENTE St,Spring Hill-City View,1,29,M
9,ARREST,11116162,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-03-10T04:30:00,1100 block BUENTE St,Spring Hill-City View,1,29,M
10,ARREST,12171001,2701,Simple Assault.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1,29,M
11,ARREST,12171001,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1,29,M
12,ARREST,12171001,3701,Robbery.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1,29,M
13,OFFENSE 2.0,15041409,9488,False  Burglar Alarm,2015-03-10T05:10:00,1900 block Clayton Ave,Perry South,1,,
